Frequency (Hz)	Amplitude (mm)	Phase Angle (deg)	Real (mm)	Imaginary (mm)
1116.	1.7396e-004	-179.49	-1.7395e-004	-1.5567e-006
1232.	1.398e-004	-179.57	-1.3979e-004	-1.0584e-006
1348.	1.1475e-004	-179.6	-1.1475e-004	-8.0243e-007
1464.	9.5639e-005	-179.62	-9.5636e-005	-6.3295e-007
1580.	8.0674e-005	-179.63	-8.0672e-005	-5.1417e-007
1696.	6.872e-005	-179.64	-6.8718e-005	-4.2847e-007
1812.	5.9001e-005	-179.65	-5.9e-005	-3.6553e-007
1928.	5.0972e-005	-179.64	-5.0971e-005	-3.19e-007
2044.	4.4225e-005	-179.63	-4.4224e-005	-2.8536e-007
2160.	3.839e-005	-179.6	-3.8389e-005	-2.6608e-007
2276.	3.2447e-005	-179.38	-3.2445e-005	-3.5107e-007
2392.	3.1565e-005	-179.44	-3.1563e-005	-3.1112e-007
2508.	2.7003e-005	-179.54	-2.7002e-005	-2.1792e-007
2624.	2.3676e-005	-179.51	-2.3675e-005	-2.027e-007
2740.	2.084e-005	-179.46	-2.0839e-005	-1.9522e-007
2856.	1.8356e-005	-179.4	-1.8355e-005	-1.9107e-007
2972.	1.6153e-005	-179.33	-1.6152e-005	-1.8914e-007
3088.	1.4184e-005	-179.24	-1.4183e-005	-1.8886e-007
3204.	1.2411e-005	-179.12	-1.241e-005	-1.8986e-007
3320.	1.0807e-005	-178.98	-1.0805e-005	-1.9174e-007
3436.	9.3489e-006	-178.81	-9.3469e-006	-1.9396e-007
3552.	8.0209e-006	-178.6	-8.0185e-006	-1.9555e-007
3668.	6.814e-006	-178.37	-6.8112e-006	-1.9409e-007
3784.	5.7347e-006	-178.19	-5.7319e-006	-1.8121e-007
3900.	4.8509e-006	-178.89	-4.85e-006	-9.3844e-008
4016.	3.3454e-006	172.86	-3.3195e-006	4.1559e-007
4132.	2.8816e-006	178.74	-2.8809e-006	6.3198e-008
4248.	3.2612e-006	145.21	-2.6782e-006	1.8608e-006
4364.	1.3069e-006	22.521	1.2073e-006	5.0059e-007
4480.	1.3966e-006	-6.0944	1.3887e-006	-1.4827e-007
4596.	2.0041e-006	-7.8009	1.9856e-006	-2.7203e-007
4712.	2.7221e-006	-6.9572	2.7021e-006	-3.2972e-007
4828.	3.484e-006	-6.1312	3.4641e-006	-3.7211e-007
4944.	4.2708e-006	-5.5232	4.251e-006	-4.1106e-007
5060.	5.0779e-006	-5.0934	5.0579e-006	-4.5081e-007
5176.	5.9065e-006	-4.793	5.8858e-006	-4.9353e-007
5292.	6.7607e-006	-4.5871	6.7391e-006	-5.4068e-007
5408.	7.6467e-006	-4.4524	7.6237e-006	-5.9362e-007
5524.	8.5722e-006	-4.3738	8.5472e-006	-6.5374e-007
5640.	9.5462e-006	-4.3417	9.5188e-006	-7.2269e-007
5756.	1.058e-005	-4.3499	1.055e-005	-8.0247e-007
5872.	1.1687e-005	-4.3948	1.1653e-005	-8.9556e-007
5988.	1.2883e-005	-4.475	1.2844e-005	-1.0052e-006
6104.	1.4189e-005	-4.5907	1.4144e-005	-1.1357e-006
6220.	1.5629e-005	-4.7436	1.5576e-005	-1.2925e-006
6336.	1.7237e-005	-4.937	1.7174e-005	-1.4834e-006
6452.	1.906e-005	-5.1752	1.8982e-005	-1.7192e-006
6568.	2.1207e-005	-5.456	2.111e-005	-2.0163e-006
6684.	2.3354e-005	-5.8817	2.3231e-005	-2.3932e-006
6800.	2.625e-005	-6.3081	2.6091e-005	-2.8841e-006
6916.	2.9652e-005	-6.8625	2.944e-005	-3.543e-006
7032.	3.3818e-005	-7.5666	3.3523e-005	-4.4531e-006
7148.	3.9069e-005	-8.4764	3.8643e-005	-5.7589e-006
7264.	4.5917e-005	-9.6862	4.5263e-005	-7.7257e-006
7380.	5.5239e-005	-11.36	5.4156e-005	-1.088e-005
7496.	6.8664e-005	-13.809	6.6679e-005	-1.6389e-005
7612.	8.9563e-005	-17.696	8.5326e-005	-2.7224e-005
7728.	1.2585e-004	-24.678	1.1435e-004	-5.2545e-005
7844.	1.9756e-004	-39.894	1.5157e-004	-1.2671e-004
7960.	3.0874e-004	-78.973	5.9052e-005	-3.0304e-004
8076.	2.4737e-004	-129.62	-1.5773e-004	-1.9056e-004
8192.	1.5447e-004	-151.91	-1.3627e-004	-7.2733e-005
8308.	1.0785e-004	-161.28	-1.0214e-004	-3.4607e-005
8424.	8.2431e-005	-166.31	-8.0087e-005	-1.9515e-005
8540.	6.6645e-005	-169.84	-6.5601e-005	-1.1754e-005
8656.	5.4789e-005	-172.12	-5.4271e-005	-7.5149e-006
8772.	4.711e-005	-172.69	-4.6727e-005	-5.9938e-006
8888.	4.1603e-005	-173.48	-4.1334e-005	-4.7209e-006
9004.	3.7277e-005	-174.22	-3.7088e-005	-3.7521e-006
9120.	3.3797e-005	-174.86	-3.3661e-005	-3.0276e-006
9236.	3.0948e-005	-175.43	-3.085e-005	-2.4685e-006
9352.	2.8585e-005	-175.98	-2.8515e-005	-2.0053e-006
9468.	2.6586e-005	-176.65	-2.6541e-005	-1.5519e-006
9584.	2.4704e-005	-177.64	-2.4683e-005	-1.0192e-006
9700.	2.2771e-005	-177.83	-2.2755e-005	-8.626e-007
9816.	2.1389e-005	-177.43	-2.1368e-005	-9.5783e-007
9932.	2.0273e-005	-177.36	-2.0252e-005	-9.336e-007
10048	1.9275e-005	-177.43	-1.9255e-005	-8.6469e-007
10164	1.8371e-005	-177.54	-1.8354e-005	-7.8896e-007
10280	1.7551e-005	-177.66	-1.7536e-005	-7.1723e-007
10396	1.6804e-005	-177.78	-1.6791e-005	-6.5222e-007
10512	1.6123e-005	-177.89	-1.6112e-005	-5.9415e-007
10628	1.55e-005	-177.99	-1.5491e-005	-5.4252e-007
10744	1.4929e-005	-178.09	-1.492e-005	-4.9661e-007
10860	1.4403e-005	-178.19	-1.4395e-005	-4.5572e-007
10976	1.3917e-005	-178.27	-1.3911e-005	-4.1918e-007
11092	1.3468e-005	-178.36	-1.3463e-005	-3.8646e-007
11208	1.3053e-005	-178.43	-1.3048e-005	-3.5711e-007
11324	1.2666e-005	-178.5	-1.2662e-005	-3.3082e-007
11440	1.2308e-005	-178.57	-1.2304e-005	-3.069e-007
11556	1.1973e-005	-178.64	-1.197e-005	-2.8449e-007
11672	1.1661e-005	-178.7	-1.1658e-005	-2.641e-007
11788	1.1369e-005	-178.76	-1.1366e-005	-2.4556e-007
11904	1.1096e-005	-178.82	-1.1093e-005	-2.2857e-007
12020	1.084e-005	-178.87	-1.0838e-005	-2.1293e-007
12136	1.06e-005	-178.93	-1.0598e-005	-1.9845e-007
12252	1.0376e-005	-178.98	-1.0374e-005	-1.8502e-007
12368	1.0165e-005	-179.03	-1.0164e-005	-1.7249e-007
12484	9.9675e-006	-179.08	-9.9662e-006	-1.6078e-007
12600	9.7823e-006	-179.12	-9.7811e-006	-1.4978e-007
12716	9.6086e-006	-179.17	-9.6076e-006	-1.3942e-007
12832	9.446e-006	-179.21	-9.4451e-006	-1.2962e-007
12948	9.2938e-006	-179.26	-9.293e-006	-1.203e-007
13064	9.1516e-006	-179.3	-9.1509e-006	-1.114e-007
13180	9.019e-006	-179.35	-9.0184e-006	-1.0287e-007
13296	8.8956e-006	-179.39	-8.8951e-006	-9.4648e-008
13412	8.7811e-006	-179.43	-8.7807e-006	-8.6672e-008
13528	8.6754e-006	-179.48	-8.6751e-006	-7.8887e-008
13644	8.5783e-006	-179.52	-8.578e-006	-7.1237e-008
13760	8.4897e-006	-179.57	-8.4894e-006	-6.3661e-008
13876	8.4095e-006	-179.62	-8.4093e-006	-5.6092e-008
13992	8.3379e-006	-179.67	-8.3378e-006	-4.8455e-008
14108	8.275e-006	-179.72	-8.2749e-006	-4.0665e-008
14224	8.2209e-006	-179.77	-8.2209e-006	-3.2615e-008
14340	8.1762e-006	-179.83	-8.1761e-006	-2.417e-008
14456	8.1412e-006	-179.89	-8.1412e-006	-1.5154e-008
14572	8.1168e-006	-179.96	-8.1168e-006	-5.3161e-009
14688	8.1039e-006	179.96	-8.1039e-006	5.7115e-009
14804	8.1041e-006	179.87	-8.104e-006	1.8516e-008
14920	8.1192e-006	179.76	-8.1191e-006	3.411e-008
15036	8.1525e-006	179.62	-8.1523e-006	5.4438e-008
15152	8.2086e-006	179.42	-8.2082e-006	8.374e-008
15268	8.2951e-006	179.08	-8.294e-006	1.3289e-007
15384	8.4185e-006	178.4	-8.4152e-006	2.3517e-007
15500	8.5173e-006	176.73	-8.5034e-006	4.8515e-007
